"correct","correct_response","position","response","response_time","stimuli","stimuli_category","trial"
"1","None","A","None","2000.0351","100_s_24_24g_a_7.jpg","13","78"
"1","q","L","q","477.072299998","100_s_12_11g_l_3.jpg","9","23"
"1","None","A","None","2000.0194","100_s_12_0g_a_7.jpg","7","8"
"1","None","A","None","2000.0277","100_s_12_12g_a_8.jpg","8","39"
"1","q","L","q","760.082700001","100_s_24_0g_l_1.jpg","16","51"
"1","None","A","None","2000.022","100_s_12_0g_a_4.jpg","7","5"
"1","None","A","None","2000.0281","100_s_24_24g_a_1.jpg","13","72"
"1","None","A","None","2000.0219","100_s_24_0g_a_4.jpg","14","45"
"1","p","R","p","913.970200001","100_s_12_0g_r_2.jpg","12","17"
"1","p","R","p","519.291","100_s_6_5g_r_1.jpg","5","106"
"1","None","A","None","2000.0242","100_s_12_12g_a_6.jpg","8","37"
"1","q","L","q","567.025599999","100_s_6_0g_l_5.jpg","4","95"
"1","None","A","None","2000.0339","100_s_12_12g_a_7.jpg","8","38"
"1","p","R","p","565.090999999","100_s_12_11g_r_1.jpg","11","26"
"1","None","A","None","2000.0246","100_s_24_0g_a_8.jpg","14","49"
"1","q","L","q","498.6611","100_s_24_23g_l_2.jpg","15","62"
"1","None","A","None","2000.0272","100_s_24_24g_a_6.jpg","13","77"
"1","q","L","q","451.6117","100_s_6_5g_l_1.jpg","3","101"
"1","None","A","None","2000.0262","100_s_24_24g_a_2.jpg","13","73"
"1","p","R","p","550.732899999","100_s_24_23g_r_5.jpg","17","70"
"1","None","A","None","2000.021","100_s_6_0g_a_3.jpg","2","84"
"1","q","L","q","581.4761","100_s_24_0g_l_4.jpg","16","54"
"1","q","L","q","616.251099998","100_s_24_0g_l_3.jpg","16","53"
"1","None","A","None","2000.025","100_s_6_0g_a_10.jpg","13","81"
"1","None","A","None","2000.033","100_s_12_0g_a_2.jpg","7","3"
"1","None","A","None","2000.0552","100_s_24_0g_a_9.jpg","14","50"
"1","None","A","None","2000.0305","100_s_24_0g_a_10.jpg","8","41"
"1","q","L","q","594.760999998","100_s_12_0g_l_5.jpg","10","15"
"1","p","R","p","548.8713","100_s_12_11g_r_5.jpg","11","30"
"1","p","R","p","576.8983","100_s_12_0g_r_3.jpg","12","18"
"1","None","A","None","2000.0254","100_s_24_0g_a_3.jpg","14","44"
"1","None","A","None","2000.0295","100_s_6_6g_a_2.jpg","1","113"
"1","None","A","None","2000.0329","100_s_24_0g_a_7.jpg","14","48"
"1","q","L","q","506.822399999","100_s_12_11g_l_1.jpg","9","21"
"1","None","A","None","2000.028","100_s_24_0g_a_6.jpg","14","47"
"1","None","A","None","2000.0201","100_s_6_0g_a_5.jpg","2","86"
"1","None","A","None","2000.0222","100_s_24_24g_a_5.jpg","13","76"
"1","None","A","None","2000.036","100_s_12_12g_a_4.jpg","8","35"
"1","p","R","p","569.565","100_s_6_5g_r_4.jpg","5","109"
"1","None","A","None","2000.1807","100_s_6_6g_a_1.jpg","1","112"
"1","q","L","q","534.8087","100_s_24_23g_l_4.jpg","15","64"
"1","p","R","p","475.989500001","100_s_24_23g_r_3.jpg","17","68"
"1","None","A","None","2000.0373","100_s_12_0g_a_9.jpg","7","10"
"1","None","A","None","2000.0227","100_s_12_12g_a_2.jpg","8","33"
"1","None","A","None","2000.0244","100_s_6_0g_a_7.jpg","2","88"
"1","q","L","q","625.152799999","100_s_12_11g_l_2.jpg","9","22"
"1","None","A","None","2000.0258","100_s_12_12g_a_1.jpg","8","32"
"1","q","L","q","491.879900001","100_s_6_5g_l_2.jpg","3","102"
"1","None","A","None","2000.0252","100_s_24_24g_a_9.jpg","13","80"
"1","None","A","None","2000.0295","100_s_12_0g_a_10.jpg","7","1"
"1","q","L","q","686.461700001","100_s_12_0g_l_3.jpg","10","13"
"1","None","A","None","2000.0218","100_s_24_24g_a_8.jpg","13","79"
"1","None","A","None","2000.0316","100_s_6_0g_a_2.jpg","2","83"
"1","p","R","p","585.3422","100_s_12_11g_r_3.jpg","11","28"
"1","q","L","q","500.420599999","100_s_6_0g_l_3.jpg","4","93"
"1","p","R","p","506.351999999","100_s_24_23g_r_2.jpg","17","67"
"1","p","R","p","872.3937","100_s_24_0g_r_4.jpg","18","59"
"1","None","A","None","2000.0266","100_s_6_6g_a_7.jpg","1","118"
"1","None","A","None","2000.0446","100_s_6_0g_a_4.jpg","2","85"
"1","q","L","q","534.169800001","100_s_24_23g_l_5.jpg","15","65"
"1","None","A","None","2000.03","100_s_6_6g_a_8.jpg","1","119"
"1","None","A","None","2000.0325","100_s_24_0g_a_2.jpg","14","43"
"1","q","L","q","576.052199998","100_s_24_23g_l_1.jpg","15","61"
"1","p","R","p","610.978700001","100_s_6_5g_r_5.jpg","5","110"
"1","None","A","None","2000.0291","100_s_12_0g_a_1.jpg","7","2"
"1","p","R","p","646.3613","100_s_6_0g_r_3.jpg","6","98"
"1","q","L","q","734.4646","100_s_12_0g_l_4.jpg","10","14"
"1","p","R","p","780.087399999","100_s_24_0g_r_3.jpg","18","58"
"1","p","R","p","614.758600001","100_s_12_0g_r_1.jpg","12","16"
"1","p","R","p","456.1894","100_s_6_0g_r_2.jpg","6","97"
"1","q","L","q","847.604699999","100_s_12_11g_l_5.jpg","9","25"
"1","p","R","p","496.502700002","100_s_6_0g_r_1.jpg","6","96"
"1","p","R","p","654.656800001","100_s_24_23g_r_1.jpg","17","66"
"1","q","L","q","510.805100001","100_s_12_11g_l_4.jpg","9","24"
"1","p","R","p","459.9829","100_s_12_0g_r_4.jpg","12","19"
"1","None","A","None","2000.0313","100_s_24_24g_a_3.jpg","13","74"
"1","q","L","q","717.766399999","100_s_12_0g_l_1.jpg","10","11"
"1","None","A","None","2000.0322","100_s_12_12g_a_3.jpg","8","34"
"1","p","R","p","845.9401","100_s_12_0g_r_5.jpg","12","20"
"1","q","L","q","686.846099999","100_s_6_0g_l_1.jpg","4","91"
"1","q","L","q","837.7243","100_s_6_5g_l_5.jpg","3","105"
"1","None","A","None","2000.0329","100_s_6_6g_a_3.jpg","1","114"
